zip_code,count_15,area,count_05,count_95,density_15,density_05,density_95
11238,129,1.1,36.0,56.0,117.27272727272727,32.72727272727273,50.90909090909091
10025,126,0.8,40.0,138.0,157.5,50.0,172.5
11103,125,0.7,31.0,56.0,178.57142857142858,44.28571428571429,80.0
11004,125,1.0,40.0,41.0,125.0,40.0,41.0
11222,121,1.5,38.0,55.0,80.66666666666667,25.333333333333332,36.666666666666664
10033,119,0.6,25.0,82.0,198.33333333333334,41.66666666666667,136.66666666666669
11363,119,0.9,18.0,37.0,132.22222222222223,20.0,41.11111111111111
11205,116,0.9,6.0,44.0,128.88888888888889,6.666666666666666,48.888888888888886
11232,113,1.3,21.0,14.0,86.92307692307692,16.153846153846153,10.769230769230768
10040,109,0.4,18.0,34.0,272.5,45.0,85.0
10002,107,0.9,30.0,31.0,118.88888888888889,33.333333333333336,34.44444444444444
11360,103,1.4,42.0,72.0,73.57142857142857,30.000000000000004,51.42857142857143
10128,102,0.5,26.0,58.0,204.0,52.0,116.0
11249,100,0.7,,49.0,142.85714285714286,,70.0
10471,99,2.6,32.0,98.0,38.07692307692307,12.307692307692307,37.69230769230769
10454,96,1.0,22.0,9.0,96.0,22.0,9.0
10019,96,0.7,23.0,52.0,137.14285714285714,32.85714285714286,74.28571428571429
10011,94,0.7,24.0,56.0,134.2857142857143,34.285714285714285,80.0
11106,91,0.9,25.0,80.0,101.11111111111111,27.77777777777778,88.88888888888889
11366,91,1.1,23.0,86.0,82.72727272727272,20.909090909090907,78.18181818181817
10028,91,0.3,13.0,42.0,303.33333333333337,43.333333333333336,140.0
11217,89,0.8,27.0,47.0,111.25,33.75,58.75
10014,88,0.6,18.0,57.0,146.66666666666669,30.0,95.0
10016,87,0.5,27.0,55.0,174.0,54.0,110.0
11001,85,2.2,9.0,23.0,38.63636363636363,4.090909090909091,10.454545454545453
11102,84,0.8,35.0,50.0,105.0,43.75,62.5
10003,82,0.6,22.0,63.0,136.66666666666669,36.66666666666667,105.0
11216,82,0.9,16.0,131.0,91.11111111111111,17.77777777777778,145.55555555555554
11416,80,0.7,53.0,90.0,114.28571428571429,75.71428571428572,128.57142857142858
10065,80,0.4,10.0,42.0,200.0,25.0,105.0
10024,80,0.9,27.0,75.0,88.88888888888889,30.0,83.33333333333333
11415,77,0.6,18.0,80.0,128.33333333333334,30.0,133.33333333333334
11225,77,0.9,43.0,32.0,85.55555555555556,47.77777777777778,35.55555555555556
10021,74,0.4,34.0,37.0,185.0,85.0,92.5
10302,72,1.2,40.0,20.0,60.0,33.333333333333336,16.666666666666668
10036,71,0.4,9.0,43.0,177.5,22.5,107.5
10009,70,0.6,19.0,37.0,116.66666666666667,31.666666666666668,61.66666666666667
10013,70,0.6,12.0,17.0,116.66666666666667,20.0,28.333333333333336
10475,69,1.7,39.0,37.0,40.588235294117645,22.941176470588236,21.764705882352942
10034,68,1.1,6.0,99.0,61.81818181818181,5.454545454545454,89.99999999999999
10470,63,1.4,31.0,57.0,45.0,22.142857142857146,40.714285714285715
10001,61,0.6,17.0,26.0,101.66666666666667,28.333333333333336,43.333333333333336
10026,60,0.3,13.0,35.0,200.0,43.333333333333336,116.66666666666667
10023,57,0.5,32.0,64.0,114.0,64.0,128.0
10022,53,0.4,6.0,41.0,132.5,15.0,102.5
10030,52,0.3,12.0,66.0,173.33333333333334,40.0,220.0
11104,49,0.4,30.0,43.0,122.5,75.0,107.5
10010,48,0.4,1.0,44.0,120.0,2.5,110.0
